pump_window,pump_threshold,pullback_min,pullback_max,vol_shrink,vol_recover,trigger_pct,ema_period,hold_bars,cooldown,stop_loss_pct,take_profit_pct,side,n_triggers,win_rate,avg_pnl,total_pnl,worst_trade,sl_count,tp_count,time_count,score
12,0.2,0.15,0.55,0.75,1.3,0.01,9,48,16,0.15,0.0,long_only,15,0.4,0.4773900141158229,7.160850211737343,-0.4500000000000002,1,0,14,8.935850211737344
12,0.2,0.15,0.55,0.75,1.3,0.01,9,48,32,0.15,0.0,long_only,15,0.4,0.4773900141158229,7.160850211737343,-0.4500000000000002,1,0,14,8.935850211737344
24,0.35,0.15,0.55,0.75,1.3,0.005,9,48,32,0.15,0.0,long_only,24,0.4583333333333333,0.2599556758681674,6.238936220836018,-0.4500000000000002,5,0,19,8.305602887502685
24,0.2,0.15,0.55,0.75,1.3,0.01,9,48,16,0.15,0.0,long_only,14,0.35714285714285715,0.47910999410281285,6.70753991743938,-0.44999999999999996,1,0,13,8.268254203153667
24,0.2,0.15,0.55,0.75,1.3,0.01,9,48,32,0.15,0.0,long_only,14,0.35714285714285715,0.47910999410281285,6.70753991743938,-0.44999999999999996,1,0,13,8.268254203153667
24,0.35,0.15,0.55,0.75,1.3,0.01,9,48,32,0.15,0.0,long_only,18,0.5,0.32625106730556164,5.8725192115001095,-0.4500000000000002,4,0,14,8.147519211500109
24,0.35,0.15,0.55,0.75,1.3,0.005,9,48,16,0.15,0.0,long_only,24,0.4583333333333333,0.252787030828813,6.066888739891511,-0.4500000000000002,5,0,19,8.133555406558179
24,0.35,0.15,0.55,0.75,1.3,0.01,9,48,16,0.15,0.0,long_only,18,0.5,0.3166928739197557,5.700471730555603,-0.4500000000000002,4,0,14,7.975471730555602
12,0.35,0.15,0.55,0.75,1.3,0.01,9,48,32,0.15,0.0,long_only,12,0.4166666666666667,0.4855359313136148,5.8264311757633775,-0.4500000000000002,4,0,8,7.684764509096711
12,0.35,0.15,0.55,0.75,1.3,0.01,9,48,16,0.15,0.0,long_only,12,0.4166666666666667,0.4711986412349059,5.654383694818871,-0.4500000000000002,4,0,8,7.512717028152204
12,0.35,0.15,0.55,0.75,1.3,0.005,9,48,32,0.15,0.0,long_only,16,0.375,0.30328237170671607,4.852517947307457,-0.4500000000000002,6,0,10,6.502517947307457
12,0.2,0.15,0.55,0.75,1.3,0.005,9,48,16,0.15,0.0,long_only,22,0.36363636363636365,0.21911598735753943,4.820551721865868,-0.4500000000000002,2,0,20,6.413733540047685
12,0.2,0.15,0.55,0.75,1.3,0.005,9,48,32,0.15,0.0,long_only,22,0.36363636363636365,0.21911598735753943,4.820551721865868,-0.4500000000000002,2,0,20,6.413733540047685
12,0.35,0.15,0.55,0.75,1.3,0.005,9,48,16,0.15,0.0,long_only,16,0.375,0.2925294041476844,4.680470466362951,-0.4500000000000002,6,0,10,6.33047046636295
24,0.2,0.15,0.55,0.75,1.3,0.005,9,48,16,0.15,0.0,long_only,25,0.4,0.17736312556918854,4.4340781392297135,-0.44999999999999996,2,0,23,6.209078139229714
24,0.2,0.15,0.55,0.75,1.3,0.005,9,48,32,0.15,0.0,long_only,25,0.4,0.17736312556918854,4.4340781392297135,-0.44999999999999996,2,0,23,6.209078139229714
24,0.35,0.15,0.55,0.75,1.3,0.01,9,48,32,0.15,0.16,long_only,19,0.5263157894736842,0.03676881244763448,0.6986074365050552,-0.4500000000000002,4,5,10,3.105186383873476
24,0.35,0.15,0.55,0.75,1.3,0.01,9,48,16,0.1,0.16,long_only,19,0.5263157894736842,0.027166209316837286,0.5161579770199084,-0.30000000000000004,7,5,7,2.997736924388329
24,0.35,0.15,0.55,0.75,1.3,0.01,9,48,32,0.1,0.16,long_only,19,0.5263157894736842,0.027166209316837286,0.5161579770199084,-0.30000000000000004,7,5,7,2.997736924388329
24,0.35,0.15,0.55,0.75,1.3,0.01,9,48,16,0.15,0.16,long_only,19,0.5263157894736842,0.027713681871607825,0.5265599555605487,-0.4500000000000002,4,5,10,2.9331389029289694
